route; type_of_day; information; times
303a;SATURDAY;None;{'Ponta Delgada': '09h00', 'Bom Despacho': '09h10', 'Quartel': '09h20'}
303a;SATURDAY;None;{'Ponta Delgada': '10h00', 'Bom Despacho': '10h10', 'Quartel': '10h20'}
303a;SATURDAY;None;{'Ponta Delgada': '11h10', 'Bom Despacho': '11h20', 'Quartel': '11h30'}
303a;SATURDAY;None;{'Quartel': '07h25', 'Bom Despacho': '07h35', 'Ponta Delgada - Hospital': '07h40', 'Ponta Delgada': '07h50'}
303a;SATURDAY;None;{'Quartel': '08h25', 'Bom Despacho': '08h35', 'Ponta Delgada': '08h45'}
303a;SATURDAY;None;{'Quartel': '09h25', 'Bom Despacho': '09h35', 'Ponta Delgada': '09h45'}
303a;SATURDAY;None;{'Quartel': '10h30', 'Bom Despacho': '10h40', 'Ponta Delgada': '10h50'}
303a;SATURDAY;None;{'Quartel': '11h40', 'Bom Despacho': '11h50', 'Ponta Delgada': '12h00'}
303a;SATURDAY;None;{'Quartel': '13h35', 'Bom Despacho': '13h45', 'Ponta Delgada - Hospital': '13h50', 'Ponta Delgada': '14h00'}
303b;WEEKDAY;None;{'Ponta Delgada': '13h10', 'Ponta Delgada - Hospital': '13h20', 'Bom Despacho': '13h25', 'Arribanas': '13h35', 'Quartel': '13h30'}
303b;WEEKDAY;None;{'Ponta Delgada': '16h10', 'Ponta Delgada - Hospital': '16h20', 'Bom Despacho': '16h25', 'Covoada': '16h40', 'Quartel': '16h45'}
303b;WEEKDAY;None;{'Quartel': '07h25', 'Bom Despacho': '07h35', 'Ponta Delgada - Hospital': '07h40', 'Ponta Delgada': '07h50'}
303b;WEEKDAY;None;{'Quartel': '13h05', 'Bom Despacho': '13h15', 'Ponta Delgada - Hospital': '13h20', 'Ponta Delgada': '13h30'}
303b;SATURDAY;None;{'Ponta Delgada': '13h10', 'Ponta Delgada - Hospital': '13h20', 'Bom Despacho': '13h25', 'Quartel': '13h35'}
309;WEEKDAY;None;{'Ponta Delgada': '07h20', 'Bom Despacho': '07h30', 'Arribanas': '07h45', 'Quartel': '07h40'}
309;WEEKDAY;None;{'Ponta Delgada': '14h55', 'Bom Despacho': '15h05', 'Covoada': '15h30', 'Quartel': '15h35'}
309;WEEKDAY;None;{'Ponta Delgada': '16h35', 'Bom Despacho': '16h45', 'Arribanas': '17h05', 'Quartel': '16h55'}
309;WEEKDAY;None;{'Ponta Delgada': '17h15', 'Bom Despacho': '17h25', 'Quartel': '17h35'}
309;WEEKDAY;None;{'Quartel': '17h20', 'Arribanas': '17h15', 'Bom Despacho': '17h30', 'Ponta Delgada': '17h40'}
315;WEEKDAY;None;{'Ponta Delgada': '07h00', 'São Roque': '07h05', 'Praia do Pópulo': '07h10', 'Lagoa': '07h20', 'Água de Pau': '07h35', 'Vila Franca': '07h50'}
315;WEEKDAY;None;{'Ponta Delgada': '07h25', 'São Roque': '07h30', 'Livramento': '07h35', 'Lagoa': '07h45', 'Água de Pau': '08h00', 'Vila Franca': '08h15'}
315;WEEKDAY;None;{'Ponta Delgada': '11h00', 'São Roque': '11h05', 'Livramento': '11h10', 'Lagoa': '11h20', 'Água de Pau': '11h35', 'Vila Franca': '11h50'}
