id; route; times; type_of_day; information
102-19h00;102;{'Ponta Delgada': '19h00', 'Moviarte': '19h06', 'Caldeirão': '19h16', 'Pico da Pedra': '19h22', 'Calhetas': '19h28', 'Rabo de Peixe': '19h33', 'Ribeira Seca': '19h43', 'Ribeira Grande': '19h45', 'Ribeirinha': '19h52', 'Porto Formoso': '20h00'};SATURDAY;None
102-08h30;102;{'Ponta Delgada': '08h30', 'Moviarte': '08h36', 'Caldeirão': '08h46', 'Pico da Pedra': '08h52', 'Calhetas': '08h58', 'Rabo de Peixe': '09h03', 'Ribeira Seca': '09h13', 'Ribeira Grande': '09h15', 'Ribeirinha': '09h22', 'Porto Formoso': '09h30'};SUNDAY;None
102-10h00;102;{'Ponta Delgada': '10h00', 'Moviarte': '10h06', 'Caldeirão': '10h16', 'Pico da Pedra': '10h22', 'Calhetas': '10h28', 'Rabo de Peixe': '10h33', 'Ribeira Seca': '10h43', 'Ribeira Grande': '10h45', 'Ribeirinha': '10h52', 'Porto Formoso': '11h00'};SUNDAY;None
102-12h30;102;{'Ponta Delgada': '12h30', 'Moviarte': '12h36', 'Caldeirão': '12h46', 'Pico da Pedra': '12h52', 'Calhetas': '12h58', 'Rabo de Peixe': '13h03', 'Ribeira Seca': '13h13', 'Ribeira Grande': '13h15', 'Ribeirinha': '13h22', 'Porto Formoso': '13h30'};SUNDAY;None
102-14h30;102;{'Ponta Delgada': '14h30', 'Moviarte': '14h36', 'Caldeirão': '14h46', 'Pico da Pedra': '14h52', 'Calhetas': '14h58', 'Rabo de Peixe': '15h03', 'Ribeira Seca': '15h13', 'Ribeira Grande': '15h15', 'Ribeirinha': '15h22', 'Porto Formoso': '15h30'};SUNDAY;None
102-16h30;102;{'Ponta Delgada': '16h30', 'Moviarte': '16h36', 'Caldeirão': '16h46', 'Pico da Pedra': '16h52', 'Calhetas': '16h58', 'Rabo de Peixe': '17h03', 'Ribeira Seca': '17h13', 'Ribeira Grande': '17h15', 'Ribeirinha': '17h22', 'Porto Formoso': '17h30'};SUNDAY;None
102-18h30;102;{'Ponta Delgada': '18h30', 'Moviarte': '18h36', 'Caldeirão': '18h46', 'Pico da Pedra': '18h52', 'Calhetas': '18h58', 'Rabo de Peixe': '19h03', 'Ribeira Seca': '19h13', 'Ribeira Grande': '19h15', 'Ribeirinha': '19h22', 'Porto Formoso': '19h30'};SUNDAY;None
102-06h50;102;{'Gramas': '06h50', 'Ribeirinha': '06h58', 'Ribeira Grande': '07h05', 'Ribeira Seca': '07h07', 'Rabo de Peixe': '07h16', 'Calhetas': '07h20', 'Pico da Pedra': '07h25', 'Caldeirão': '07h30', 'Moviarte': '07h38', 'Ponta Delgada': '07h50'};SATURDAY;None
102-07h45;102;{'Ribeira Grande': '07h45', 'Ribeira Seca': '07h47', 'Rabo de Peixe': '07h56', 'Calhetas': '08h00', 'Pico da Pedra': '08h05', 'Caldeirão': '08h10', 'Moviarte': '08h18', 'Ponta Delgada': '08h30'};SATURDAY;None
102-12h15;102;{'Gramas': '12h15', 'Ribeirinha': '12h23', 'Ribeira Grande': '12h30', 'Ribeira Seca': '12h32', 'Rabo de Peixe': '12h41', 'Calhetas': '12h45', 'Pico da Pedra': '12h50', 'Caldeirão': '12h55', 'Moviarte': '13h03', 'Ponta Delgada': '13h15'};SATURDAY;None
102-15h15;102;{'Gramas': '15h15', 'Ribeirinha': '15h23', 'Ribeira Grande': '15h30', 'Ribeira Seca': '15h32', 'Rabo de Peixe': '15h41', 'Calhetas': '15h45', 'Pico da Pedra': '15h50', 'Caldeirão': '15h55', 'Moviarte': '16h03', 'Ponta Delgada': '16h15'};SATURDAY;None
102-17h15;102;{'Gramas': '17h15', 'Ribeirinha': '17h23', 'Ribeira Grande': '17h30', 'Ribeira Seca': '17h32', 'Rabo de Peixe': '17h41', 'Calhetas': '17h45', 'Pico da Pedra': '17h50', 'Caldeirão': '17h55', 'Moviarte': '18h03', 'Ponta Delgada': '18h15'};SATURDAY;None
102-06h50;102;{'Gramas': '06h50', 'Ribeirinha': '06h58', 'Ribeira Grande': '07h05', 'Ribeira Seca': '07h07', 'Rabo de Peixe': '07h16', 'Calhetas': '07h20', 'Pico da Pedra': '07h25', 'Caldeirão': '07h30', 'Moviarte': '07h38', 'Ponta Delgada': '07h50'};SUNDAY;None
102-12h15;102;{'Gramas': '12h15', 'Ribeirinha': '12h23', 'Ribeira Grande': '12h30', 'Ribeira Seca': '12h32', 'Rabo de Peixe': '12h41', 'Calhetas': '12h45', 'Pico da Pedra': '12h50', 'Caldeirão': '12h55', 'Moviarte': '13h03', 'Ponta Delgada': '13h15'};SUNDAY;None
102-14h30;102;{'Gramas': '14h30', 'Ribeirinha': '14h38', 'Ribeira Grande': '14h45', 'Ribeira Seca': '14h47', 'Rabo de Peixe': '14h56', 'Calhetas': '15h00', 'Pico da Pedra': '15h05', 'Caldeirão': '15h10', 'Moviarte': '15h18', 'Ponta Delgada': '15h30'};SUNDAY;None
102-16h30;102;{'Gramas': '16h30', 'Ribeirinha': '16h38', 'Ribeira Grande': '16h45', 'Ribeira Seca': '16h47', 'Rabo de Peixe': '16h56', 'Calhetas': '17h00', 'Pico da Pedra': '17h05', 'Caldeirão': '17h10', 'Moviarte': '17h18', 'Ponta Delgada': '17h30'};SUNDAY;None
102-21h15;102;{'Ponta Delgada': '21h15', 'Ponta Delgada - Hospital': '21h26', 'Caldeirão': '21h33', 'Pico da Pedra': '21h39', 'Calhetas': '21h45', 'Rabo de Peixe': '21h48', 'Ribeira Seca': '21h57', 'Ribeira Grande': '22h00'};WEEKDAY;None
102-23h15;102;{'Ponta Delgada': '23h15', 'Ponta Delgada - Hospital': '23h26', 'Caldeirão': '23h33', 'Pico da Pedra': '23h39', 'Calhetas': '23h45', 'Rabo de Peixe': '23h48', 'Ribeira Seca': '23h57', 'Ribeira Grande': '00h00'};WEEKDAY;None
102-21h15;102;{'Ponta Delgada': '21h15', 'Ponta Delgada - Hospital': '21h26', 'Caldeirão': '21h33', 'Pico da Pedra': '21h39', 'Calhetas': '21h45', 'Rabo de Peixe': '21h48', 'Ribeira Seca': '21h57', 'Ribeira Grande': '22h00'};SATURDAY;None
102-23h15;102;{'Ponta Delgada': '23h15', 'Ponta Delgada - Hospital': '23h26', 'Caldeirão': '23h33', 'Pico da Pedra': '23h39', 'Calhetas': '23h45', 'Rabo de Peixe': '23h48', 'Ribeira Seca': '23h57', 'Ribeira Grande': '00h00'};SATURDAY;None
102-21h15;102;{'Ponta Delgada': '21h15', 'Ponta Delgada - Hospital': '21h26', 'Caldeirão': '21h33', 'Pico da Pedra': '21h39', 'Calhetas': '21h45', 'Rabo de Peixe': '21h48', 'Ribeira Seca': '21h57', 'Ribeira Grande': '22h00'};SUNDAY;None
102-23h15;102;{'Ponta Delgada': '23h15', 'Ponta Delgada - Hospital': '23h26', 'Caldeirão': '23h33', 'Pico da Pedra': '23h39', 'Calhetas': '23h45', 'Rabo de Peixe': '23h48', 'Ribeira Seca': '23h57', 'Ribeira Grande': '00h00'};SUNDAY;None
102-22h00;102;{'Ribeira Grande': '22h00', 'Ribeira Seca': '22h02', 'Rabo de Peixe': '22h11', 'Calhetas': '22h15', 'Pico da Pedra': '22h21', 'Caldeirão': '22h26', 'Ponta Delgada': '22h45'};WEEKDAY;None
102-22h00;102;{'Ribeira Grande': '22h00', 'Ribeira Seca': '22h02', 'Rabo de Peixe': '22h11', 'Calhetas': '22h15', 'Pico da Pedra': '22h21', 'Caldeirão': '22h26', 'Ponta Delgada': '22h45'};SATURDAY;None
102-22h00;102;{'Ribeira Grande': '22h00', 'Ribeira Seca': '22h02', 'Rabo de Peixe': '22h11', 'Calhetas': '22h15', 'Pico da Pedra': '22h21', 'Caldeirão': '22h26', 'Ponta Delgada': '22h45'};SUNDAY;None
105-11h00;105;{'Vila do Nordeste': '11h00', 'Lomba da Pedreira': '11h15'};WEEKDAY;None
105-15h00;105;{'Vila do Nordeste': '15h00', 'Lomba da Pedreira': '15h15'};WEEKDAY;None
105-09h15;105;{'Lomba da Pedreira': '09h15', 'Vila do Nordeste': '09h30'};WEEKDAY;None
105-15h15;105;{'Lomba da Pedreira': '15h15', 'Vila do Nordeste': '15h30'};WEEKDAY;None
105-06h45;105;{'Ponta Delgada': '06h45', 'Moviarte': '06h52', 'Caldeirão': '07h00', 'Ribeira Seca': '07h16', 'Ribeira Grande': '07h20', 'Ribeirinha': '07h25', 'São Brás': '07h40', 'Maia - Largo S.António': '07h45', 'Lomba da Maia': '07h55', 'Fenais da Ajuda': '08h02', 'Lomba de S.Pedro': '08h07', 'Salga': '08h12', 'Lomba da Achadinha': '08h17', 'Achada': '08h26', 'Algarvia': '08h35', 'Santo António Nordestinho': '08h40', 'São Pedro Nordestinho': '08h45', 'Lomba da Fazenda': '08h50', 'Lomba da Cruz': '08h54', 'Vila do Nordeste': '09h00', 'Lomba da Pedreira': '09h15'};WEEKDAY;None
105-16h15;105;{'Ponta Delgada': '16h15', 'Moviarte': '16h22', 'Caldeirão': '16h30', 'Ribeira Seca': '16h46', 'Ribeira Grande': '16h50', 'Ribeirinha': '16h55', 'São Brás': '17h10', 'Maia - Largo S.António': '17h15', 'Lomba da Maia': '17h25', 'Fenais da Ajuda': '17h32', 'Lomba de S.Pedro': '17h37', 'Salga': '17h42', 'Lomba da Achadinha': '17h47', 'Achada': '17h567', 'Algarvia': '18h05', 'Santo António Nordestinho': '18h10', 'São Pedro Nordestinho': '18h15', 'Lomba da Fazenda': '18h20', 'Lomba da Cruz': '18h24', 'Vila do Nordeste': '18h30', 'Lomba da Pedreira': '18h45'};WEEKDAY;None
105-18h30b;105;{'Ponta Delgada': '18h30b', 'Moviarte': '18h37b', 'Caldeirão': '18h45b', 'Ribeira Seca': '19h01b', 'Ribeira Grande': '19h05b', 'Ribeirinha': '19h10b', 'São Brás': '19h25b', 'Maia - Largo S.António': '19h30b', 'Lomba da Maia': '19h40b', 'Fenais da Ajuda': '19h47b', 'Lomba de S.Pedro': '19h52b', 'Salga': '19h47b', 'Lomba da Achadinha': '20h02b', 'Achada': '20h11b', 'Algarvia': '20h20b', 'Santo António Nordestinho': '20h25b', 'São Pedro Nordestinho': '20h30b', 'Lomba da Fazenda': '20h35b', 'Lomba da Cruz': '20h39b', 'Vila do Nordeste': '20h45b'};WEEKDAY;{'pt': 'Só à Sexta-Feira', 'en': 'Just Friday', 'es': 'Solo viernes', 'fr': 'Juste vendredi', 'de': 'Nur Freitag'}
105-06h30;105;{'Lomba da Pedreira': '06h30', 'Vila do Nordeste': '06h45', 'Lomba da Cruz': '06h51', 'Lomba da Fazenda': '06h55', 'São Pedro Nordestinho': '07h00', 'Santo António Nordestinho': '07h05', 'Algarvia': '07h10', 'Achada': '07h19', 'Lomba da Achadinha': '07h28', 'Salga': '07h33', 'Lomba de S.Pedro': '07h38', 'Fenais da Ajuda': '07h43', 'Lomba da Maia': '07h50', 'Gorreana': '07h58', 'São Brás': '08h05', 'Ribeirinha': '08h30', 'Ribeira Grande': '08h45', 'Ribeira Seca': '08h49', 'Caldeirão': '09h00', 'Moviarte': '09h08', 'Ponta Delgada': '09h15'};WEEKDAY;None
105-06h45;105;{'Ponta Delgada': '06h45', 'Moviarte': '06h52', 'Caldeirão': '07h00', 'Ribeira Seca': '07h21', 'Ribeira Grande': '07h24', 'Ribeirinha': '07h29', 'Maia - Escola': '07h50', 'Maia - Largo S.António': '07h52', 'Lomba da Maia': '08h03', 'Fenais da Ajuda': '08h10', 'Lomba de S.Pedro': '08h15', 'Salga': '08h22', 'Lomba da Achadinha': '08h27', 'Achada': '08h36', 'Algarvia': '08h43', 'Santo António Nordestinho': '08h49', 'São Pedro Nordestinho': '08h53', 'Lomba da Fazenda': '08h57', 'Lomba da Cruz': '09h02', 'Vila do Nordeste': '09h08', 'Lomba da Pedreira': '09h15'};SATURDAY;None
105-06h30;105;{'Lomba da Pedreira': '06h30', 'Vila do Nordeste': '06h45', 'Lomba da Cruz': '06h58', 'Lomba da Fazenda': '07h03', 'São Pedro Nordestinho': '07h07', 'Santo António Nordestinho': '07h11', 'Algarvia': '07h17', 'Achada': '07h24', 'Lomba da Achadinha': '07h32', 'Salga': '07h38', 'Lomba de S.Pedro': '07h42', 'Fenais da Ajuda': '07h46', 'Lomba da Maia': '07h56', 'Gorreana': '08h06', 'São Brás': '08h09', 'Ribeirinha': '08h29', 'Ribeira Grande': '08h45', 'Ribeira Seca': '08h47', 'Caldeirão': '08h54', 'Moviarte': '09h02', 'Ponta Delgada': '09h15'};SATURDAY;None
105-06h45;105;{'Ponta Delgada': '06h45', 'Moviarte': '06h58', 'Caldeirão': '07h00', 'Ribeira Seca': '07h21', 'Ribeira Grande': '07h24', 'Ribeirinha': '07h29', 'Maia - Escola': '07h50', 'Maia - Largo S.António': '07h52', 'Lomba da Maia': '08h03', 'Fenais da Ajuda': '08h10', 'Lomba de S.Pedro': '08h15', 'Salga': '08h22', 'Lomba da Achadinha': '08h27', 'Achada': '08h36', 'Algarvia': '08h43', 'Santo António Nordestinho': '08h49', 'São Pedro Nordestinho': '08h53', 'Lomba da Fazenda': '08h57', 'Lomba da Cruz': '09h02', 'Vila do Nordeste': '09h08', 'Lomba da Pedreira': '09h15'};SUNDAY;None
106-11h00;106;{'Ponta Delgada': '11h00', 'Moviarte': '11h07', 'Caldeirão': '11h15', 'Ribeira Seca': '11h31', 'Ribeira Grande': '11h35', 'Ribeirinha': '11h40', 'São Brás': '11h55', 'Maia - Largo S.António': '12h00', 'Lomba da Maia': '12h10', 'Fenais da Ajuda': '12h17', 'Lomba de S.Pedro': '12h22', 'Salga': '12h27', 'Lomba da Achadinha': '12h32', 'Achada': '12h41', 'Algarvia': '12h50', 'Santo António Nordestinho': '12h55', 'São Pedro Nordestinho': '13h00', 'Lomba da Fazenda': '13h05', 'Lomba da Cruz': '13h09', 'Vila do Nordeste': '13h15'};WEEKDAY;None
106-11h15;106;{'Lomba da Pedreira': '11h15', 'Vila do Nordeste': '11h30', 'Lomba da Cruz': '11h36', 'Lomba da Fazenda': '11h40', 'São Pedro Nordestinho': '11h45', 'Santo António Nordestinho': '11h50', 'Algarvia': '11h55', 'Achada': '12h04', 'Lomba da Achadinha': '12h13', 'Salga': '12h18', 'Lomba de S.Pedro': '12h23', 'Fenais da Ajuda': '12h28', 'Lomba da Maia': '12h35', 'Maia - Largo S.António': '12h45', 'São Brás': '12h50', 'Ribeirinha': '13h15', 'Ribeira Grande': '13h30', 'Ribeira Seca': '13h39', 'Caldeirão': '13h50', 'Moviarte': '13h58', 'Ponta Delgada': '14h00'};WEEKDAY;None
107-16h15;107;{'Ponta Delgada': '16h15', 'Moviarte': '16h22', 'Caldeirão': '16h30', 'Ribeira Seca': '16h51', 'Ribeira Grande': '16h54', 'Ribeirinha': '16h59', 'São Brás': '17h17', 'Maia - Escola': '17h20', 'Gorreana': '17h25', 'Lomba da Maia': '17h33', 'Fenais da Ajuda': '17h40', 'Lomba de S.Pedro': '17h45', 'Salga': '17h52', 'Lomba da Achadinha': '17h57', 'Achada': '18h06', 'Algarvia': '18h13', 'Santo António Nordestinho': '18h19', 'São Pedro Nordestinho': '18h23', 'Lomba da Fazenda': '18h27', 'Lomba da Cruz': '18h32', 'Vila do Nordeste': '18h38', 'Lomba da Pedreira': '18h45'};SATURDAY;None
107-16h15;107;{'Vila do Nordeste': '16h15', 'Lomba da Cruz': '16h21', 'Lomba da Fazenda': '16h25', 'São Pedro Nordestinho': '16h35', 'Santo António Nordestinho': '16h40', 'Algarvia': '16h45', 'Achada': '16h54', 'Lomba da Achadinha': '17h03', 'Salga': '17h08', 'Lomba de S.Pedro': '17h13', 'Fenais da Ajuda': '17h18', 'Lomba da Maia': '17h25', 'Maia - Largo S.António': '17h35', 'São Brás': '17h40', 'Porto Formoso': '17h45', 'Ribeirinha': '18h10', 'Ribeira Grande': '18h30', 'Ribeira Seca': '18h39', 'Caldeirão': '18h50', 'Moviarte': '18h58', 'Ponta Delgada': '19h05'};WEEKDAY;None
107-14h30;107;{'Lomba da Pedreira': '14h30', 'Vila do Nordeste': '14h37', 'Lomba da Cruz': '14h43', 'Lomba da Fazenda': '14h48', 'São Pedro Nordestinho': '14h52', 'Santo António Nordestinho': '14h56', 'Algarvia': '15h02', 'Achada': '15h09', 'Lomba da Achadinha': '15h17', 'Salga': '15h23', 'Lomba de S.Pedro': '15h27', 'Fenais da Ajuda': '15h31', 'Lomba da Maia': '15h41', 'Maia - Largo S.António': '15h49', 'São Brás': '15h53', 'Porto Formoso': '15h56', 'Ribeirinha': '16h14', 'Ribeira Grande': '16h18', 'Ribeira Seca': '16h22', 'Caldeirão': '16h39', 'Moviarte': '16h47', 'Ponta Delgada': '17h00'};SATURDAY;None
