id; stop; times; type_of_day; information
207-08h55;207;{'Sete Cidades - Ponte': '08h55', 'Sete Cidades - Igreja': '09h00', 'Varzea': '09h10', 'Mosteiros - Ramal': '09h15', 'João Bom': '09h25', 'Ajuda - Ramal': '09h35', 'Remédios': '09h40', 'Santa Bárbara - Ramal': '09h45', 'Santo António - Cruz': '09h48', 'Capelas - Rossio': '09h57', 'Capelas - Navio': '09h59', 'Fenais da Luz - Bairro': '10h17', 'Fenais da Luz - Igreja': '10h18', 'São Vicente - Igreja': '10h21', 'São Vicente - Atafona': '10h23', 'Fajã de Cima': '10h32', 'Ponta Delgada - Hospital': '10h43', 'Ponta Delgada': '10h59'};SATURDAY;None
207-16h25;207;{'Sete Cidades - Ponte': '16h25', 'Sete Cidades - Igreja': '16h30', 'Varzea': '16h40', 'Mosteiros - Ramal': '16h45', 'João Bom': '16h55', 'Ajuda - Ramal': '17h05', 'Remédios': '17h10', 'Santa Bárbara - Ramal': '17h15', 'Santo António - Cruz': '17h18', 'Capelas - Rossio': '17h27', 'Capelas - Navio': '17h29', 'Fenais da Luz - Bairro': '17h47', 'Fenais da Luz - Igreja': '17h48', 'São Vicente - Igreja': '17h51', 'São Vicente - Atafona': '17h53', 'Fajã de Cima': '18h02', 'Ponta Delgada - Hospital': '18h13', 'Ponta Delgada': '18h29'};SATURDAY;None
207-08h30;207;{'Ponta Delgada': '08h30', 'Av Principe Mónaco': '08h35', 'Ponta Delgada - Hospital': '08h42', 'Fajã de Cima': '08h50', 'São Vicente - Atafona': '09h15', 'Batalha': '08h59', 'Farropo': '09h04', 'Fenais da Luz - Igreja': '09h08', 'Fenais da Luz - Bairro': '09h09', 'São Vicente - Igreja': '09h13', 'Capelas - Navio': '09h17', 'Capelas - Rossio': '09h20', 'Santo António - Cruz': '09h25', 'Santa Bárbara - Ramal': '09h31', 'Remédios': '09h35', 'Ajuda - Ramal': '09h42', 'João Bom': '09h50', 'Mosteiros - Ramal': '10h02', 'Varzea': '10h12', 'Sete Cidades - Igreja': '10h22', 'Sete Cidades - Ponte': '10h27'};SUNDAY;None
207-16h15;207;{'Ponta Delgada': '16h15', 'Av Principe Mónaco': '16h20', 'Ponta Delgada - Hospital': '16h27', 'Fajã de Cima': '16h35', 'Capelas - Navio': '16h50', 'Capelas - Rossio': '16h53', 'Santo António - Cruz': '16h58', 'Santa Bárbara - Ramal': '17h04', 'Remédios': '17h08', 'Ajuda - Ramal': '17h15', 'João Bom': '17h23', 'Mosteiros - Ramal': '17h35', 'Varzea': '17h35', 'Sete Cidades - Igreja': '17h55', 'Sete Cidades - Ponte': '18h00'};SUNDAY;None
207-10h45;207;{'Sete Cidades - Ponte': '10h45', 'Sete Cidades - Igreja': '10h50', 'Varzea': '11h00', 'Mosteiros - Ramal': '11h10', 'João Bom': '11h20', 'Ajuda - Ramal': '11h30', 'Remédios': '11h35', 'Santa Bárbara - Ramal': '11h40', 'Santo António - Cruz': '11h45', 'Grota do Morro': '11h49', 'Capelas - Rossio': '11h52', 'Capelas - Navio': '11h54', 'São Vicente - Atafona': '11h57', 'São Vicente - Igreja': '11h59', 'Fenais da Luz - Bairro': '12h04', 'Fenais da Luz - Igreja': '12h05', 'Farropo': '12h09', 'Batalha': '12h14', 'Fajã de Cima': '12h19', 'Ponta Delgada - Hospital': '12h30', 'Ponta Delgada': '12h44'};SUNDAY;None
207-18h05;207;{'Sete Cidades - Ponte': '18h05', 'Sete Cidades - Igreja': '18h10', 'Varzea': '18h20', 'Mosteiros - Ramal': '18h25', 'João Bom': '18h35', 'Ajuda - Ramal': '18h45', 'Remédios': '18h50', 'Santa Bárbara - Ramal': '18h55', 'Santo António - Cruz': '19h00', 'Capelas - Rossio': '19h07', 'Capelas - Navio': '19h09', 'São Vicente - Atafona': '19h12', 'São Vicente - Igreja': '19h14', 'Fenais da Luz - Bairro': '19h19', 'Fenais da Luz - Igreja': '19h20', 'Farropo': '19h24', 'Batalha': '19h29', 'Fajã de Cima': '19h34', 'Ponta Delgada': '19h59'};SUNDAY;None
214-18h05;214;{'Ponta Delgada': '18h05', 'Fajã de Cima': '18h20', 'Batalha': '18h28', 'Farropo': '18h33', 'Fenais da Luz - Igreja': '18h37', 'Fenais da Luz - Bairro': '18h38', 'Calhetas': '18h44', 'Capelas - Navio': '19h00', 'Capelas - Rossio': '19h01', 'Grota do Morro': '19h05'};SUNDAY;None
218-06h15;218;{'Santo António - Moagem': '06h15', 'Santo António - Igreja': '06h18', 'Capelas - Rossio': '06h24', 'Teatro Novo': '06h29', 'Fajã de Cima': '06h52', 'Ponta Delgada': '06h58'};WEEKDAY;{'pt': "Passagem em 'Capelas - Rossio' junto à escola", 'en': "Bus Stop in 'Capelas - Rossio' near the School", 'es': "Parada de autobús en 'Capelas - Rossio' cerca de la escuela", 'fr': "Arrêt de bus à 'Capelas - Rossio' près de l'école", 'de': "Bushaltestelle in 'Capelas - Rossio' in der Nähe der Schule"}
218-07h05;218;{'Remédios': '07h05', 'Santa Bárbara - Cavalo Branco': '07h14', 'Santo António - Moagem': '07h16', 'Santo António - Igreja': '07h19', 'Capelas - Rossio': '07h26', 'Teatro Novo': '07h31', 'Fajã de Cima': '07h43', 'Ponta Delgada - Hospital': '07h51', 'Ponta Delgada': '08h03'};WEEKDAY;{'pt': "Passagem em 'Capelas - Rossio' junto à escola", 'en': "Bus Stop in 'Capelas - Rossio' near the School", 'es': "Parada de autobús en 'Capelas - Rossio' cerca de la escuela", 'fr': "Arrêt de bus à 'Capelas - Rossio' près de l'école", 'de': "Bushaltestelle in 'Capelas - Rossio' in der Nähe der Schule"}
218-08h45;218;{'Santo António - Moagem': '08h45', 'Santo António - Igreja': '06h18', 'Capelas - Rossio': '08h58', 'Teatro Novo': '08h59', 'Fajã de Cima': '09h12', 'Ponta Delgada - Hospital': '09h21', 'Ponta Delgada': '09h33'};WEEKDAY;{'pt': "Passagem em 'Capelas - Rossio' junto à escola", 'en': "Bus Stop in 'Capelas - Rossio' near the School", 'es': "Parada de autobús en 'Capelas - Rossio' cerca de la escuela", 'fr': "Arrêt de bus à 'Capelas - Rossio' près de l'école", 'de': "Bushaltestelle in 'Capelas - Rossio' in der Nähe der Schule"}
218-13h45;218;{'Santo António - Moagem': '13h45', 'Santo António - Igreja': '08h48', 'Capelas - Rossio': '13h54', 'Teatro Novo': '13h59', 'Fajã de Cima': '14h12', 'Ponta Delgada': '14h28'};WEEKDAY;{'pt': "Passagem em 'Capelas - Rossio' junto à escola", 'en': "Bus Stop in 'Capelas - Rossio' near the School", 'es': "Parada de autobús en 'Capelas - Rossio' cerca de la escuela", 'fr': "Arrêt de bus à 'Capelas - Rossio' près de l'école", 'de': "Bushaltestelle in 'Capelas - Rossio' in der Nähe der Schule"}
218-15h00;218;{'Santo António - Moagem': '15h00', 'Santo António - Igreja': '13h48', 'Capelas - Rossio': '15h09', 'Teatro Novo': '15h14', 'Fajã de Cima': '15h27', 'Ponta Delgada - Hospital': '15h36', 'Ponta Delgada': '15h48'};WEEKDAY;{'pt': "Passagem em 'Capelas - Rossio' junto à escola", 'en': "Bus Stop in 'Capelas - Rossio' near the School", 'es': "Parada de autobús en 'Capelas - Rossio' cerca de la escuela", 'fr': "Arrêt de bus à 'Capelas - Rossio' près de l'école", 'de': "Bushaltestelle in 'Capelas - Rossio' in der Nähe der Schule"}
218-17h15;218;{'Santo António - Moagem': '17h15', 'Santo António - Igreja': '15h03', 'Capelas - Rossio': '17h24', 'Teatro Novo': '17h29', 'Fajã de Cima': '17h42', 'Ponta Delgada': '18h00'};WEEKDAY;{'pt': "Passagem em 'Capelas - Rossio' junto à escola", 'en': "Bus Stop in 'Capelas - Rossio' near the School", 'es': "Parada de autobús en 'Capelas - Rossio' cerca de la escuela", 'fr': "Arrêt de bus à 'Capelas - Rossio' près de l'école", 'de': "Bushaltestelle in 'Capelas - Rossio' in der Nähe der Schule"}
